Temprature	Pressure Liquid	Pressure Gas	Enthalpy Liqid	Enthalpy Gas	Entropy Liquid	Entropy Gas
-100.0000	3.8000	3.7000	63.3000	374.7000	0.3789	2.1774
-99.0000	4.1000	4.1000	64.5000	375.3000	0.3857	2.1703
-98.0000	4.5000	4.4000	65.7000	375.8000	0.3925	2.1633
-97.0000	4.9000	4.9000	66.9000	376.4000	0.3993	2.1565
-96.0000	5.4000	5.3000	68.1000	377.0000	0.4061	2.1498
-95.0000	5.9000	5.8000	69.3000	377.6000	0.4128	2.1432
-94.0000	6.4000	6.3000	70.5000	378.2000	0.4196	2.1367
-93.0000	6.9000	6.8000	71.7000	378.7000	0.4263	2.1304
-92.0000	7.5000	7.4000	73.0000	379.3000	0.4330	2.1241
-91.0000	8.2000	8.1000	74.2000	379.9000	0.4398	2.1180
-90.0000	8.8000	8.8000	75.4000	380.5000	0.4465	2.1120
-89.0000	9.6000	9.5000	76.6000	381.0000	0.4532	2.1061
-88.0000	10.3000	10.2000	77.9000	381.6000	0.4599	2.1003
-87.0000	11.2000	11.1000	79.1000	382.2000	0.4666	2.0945
-86.0000	12.0000	12.0000	80.4000	382.7000	0.4732	2.0889
-85.0000	13.0000	12.9000	81.6000	383.3000	0.4799	2.0834
-84.0000	14.0000	13.9000	82.9000	383.9000	0.4866	2.0780
-83.0000	15.0000	14.9000	84.1000	384.4000	0.4932	2.0727
-82.0000	16.2000	16.1000	85.4000	385.0000	0.4998	2.0674
-81.0000	17.4000	17.3000	86.6000	385.6000	0.5064	2.0623
-80.0000	18.6000	18.5000	87.9000	386.1000	0.5130	2.0572
-79.0000	20.0000	19.9000	89.2000	386.7000	0.5196	2.0523
-78.0000	21.4000	21.3000	90.4000	387.3000	0.5262	2.0474
-77.0000	22.9000	22.8000	91.7000	387.8000	0.5328	2.0426
-76.0000	24.5000	24.4000	93.0000	388.4000	0.5393	2.0378
-75.0000	26.2000	26.1000	94.2000	389.0000	0.5459	2.0332
-74.0000	27.9000	27.8000	95.5000	389.5000	0.5524	2.0286
-73.0000	29.8000	29.7000	96.8000	390.1000	0.5589	2.0241
-72.0000	31.8000	31.7000	98.1000	390.6000	0.5654	2.0196
-71.0000	33.9000	33.7000	99.4000	391.2000	0.5719	2.0153
-70.0000	36.0000	35.9000	100.7000	391.7000	0.5784	2.0110
-69.0000	38.3000	38.2000	102.0000	392.3000	0.5849	2.0067
-68.0000	40.7000	40.6000	103.3000	392.8000	0.5913	2.0026
-67.0000	43.3000	43.2000	104.6000	393.4000	0.5978	1.9985
-66.0000	45.9000	45.8000	105.9000	393.9000	0.6042	1.9944
-65.0000	48.7000	48.6000	107.2000	394.4000	0.6106	1.9904
-64.0000	51.7000	51.5000	108.5000	395.0000	0.6170	1.9865
-63.0000	54.7000	54.6000	109.9000	395.5000	0.6234	1.9827
-62.0000	57.9000	57.8000	111.2000	396.0000	0.6298	1.9788
-61.0000	61.3000	61.2000	112.5000	396.6000	0.6361	1.9751
-60.0000	64.8000	64.7000	113.8000	397.1000	0.6425	1.9714
-59.0000	68.5000	68.3000	115.2000	397.6000	0.6488	1.9678
-58.0000	72.3000	72.2000	116.5000	398.2000	0.6551	1.9642
-57.0000	76.4000	76.2000	117.9000	398.7000	0.6614	1.9606
-56.0000	80.6000	80.4000	119.2000	399.2000	0.6677	1.9571
-55.0000	84.9000	84.7000	120.5000	399.7000	0.6740	1.9537
-54.0000	89.5000	89.3000	121.9000	400.2000	0.6803	1.9503
-53.0000	94.2000	94.0000	123.2000	400.7000	0.6865	1.9470
-52.0000	99.2000	99.0000	124.6000	401.2000	0.6928	1.9437
-51.0000	104.3000	104.1000	126.0000	401.7000	0.6990	1.9404
-50.0000	109.7000	109.4000	127.3000	402.2000	0.7052	1.9372
-49.0000	115.3000	115.0000	128.7000	402.7000	0.7114	1.9340
-48.0000	121.1000	120.8000	130.1000	403.2000	0.7176	1.9309
-47.0000	127.1000	126.8000	131.4000	403.7000	0.7238	1.9278
-46.0000	133.4000	133.0000	132.8000	404.2000	0.7299	1.9248
-45.0000	139.9000	139.5000	134.2000	404.7000	0.7361	1.9217
-44.0000	146.6000	146.3000	135.6000	405.2000	0.7422	1.9188
-43.0000	153.6000	153.2000	137.0000	405.7000	0.7483	1.9158
-42.0000	160.9000	160.5000	138.4000	406.1000	0.7544	1.9129
-41.0000	168.4000	168.0000	139.7000	406.6000	0.7605	1.9101
-40.0000	176.2000	175.8000	141.1000	407.1000	0.7666	1.9072
-39.0000	184.3000	183.8000	142.5000	407.6000	0.7727	1.9045
-38.0000	192.7000	192.2000	144.0000	408.0000	0.7787	1.9017
-37.0000	201.3000	200.8000	145.4000	408.5000	0.7847	1.8990
-36.0000	210.3000	209.8000	146.8000	408.9000	0.7908	1.8963
-35.0000	219.6000	219.0000	148.2000	409.4000	0.7968	1.8936
-34.0000	229.2000	228.6000	149.6000	409.8000	0.8028	1.8910
-33.0000	239.1000	238.4000	151.0000	410.3000	0.8088	1.8884
-32.0000	249.3000	248.6000	152.4000	410.7000	0.8148	1.8858
-31.0000	259.9000	259.2000	153.9000	411.2000	0.8207	1.8832
-30.0000	270.8000	270.1000	155.3000	411.6000	0.8267	1.8807
-29.0000	282.1000	281.3000	156.7000	412.0000	0.8326	1.8782
-28.0000	293.7000	292.9000	158.2000	412.5000	0.8385	1.8757
-27.0000	305.7000	304.9000	159.6000	412.9000	0.8445	1.8733
-26.0000	318.1000	317.2000	161.1000	413.3000	0.8504	1.8709
-25.0000	330.9000	329.9000	162.5000	413.7000	0.8562	1.8685
-24.0000	344.0000	343.0000	164.0000	414.1000	0.8621	1.8661
-23.0000	357.6000	356.6000	165.4000	414.5000	0.8680	1.8638
-22.0000	371.5000	370.5000	166.9000	414.9000	0.8738	1.8614
-21.0000	385.9000	384.8000	168.4000	415.3000	0.8797	1.8591
-20.0000	400.7000	399.5000	169.8000	415.7000	0.8855	1.8569
-19.0000	415.9000	414.7000	171.3000	416.1000	0.8913	1.8546
-18.0000	431.6000	430.3000	172.8000	416.5000	0.8971	1.8523
-17.0000	447.7000	446.4000	174.3000	416.9000	0.9029	1.8501
-16.0000	464.3000	462.9000	175.7000	417.2000	0.9087	1.8479
-15.0000	481.3000	479.9000	177.2000	417.6000	0.9145	1.8457
-14.0000	498.9000	497.4000	178.7000	418.0000	0.9203	1.8436
-13.0000	516.9000	515.3000	180.2000	418.3000	0.9260	1.8414
-12.0000	535.4000	533.7000	181.7000	418.7000	0.9318	1.8393
-11.0000	554.4000	552.7000	183.2000	419.1000	0.9375	1.8372
-10.0000	573.9000	572.1000	184.7000	419.4000	0.9432	1.8351
-9.0000	593.9000	592.1000	186.2000	419.7000	0.9489	1.8330
-8.0000	614.4000	612.6000	187.7000	420.1000	0.9547	1.8309
