Pressure Vapor	Temperature	Volume Vapor	Enthalpy Vapor	Entropy Vapor
10.0000	-70.0000	1.9509	370.2000	1.9641
10.0000	-65.0000	1.9995	373.6000	1.9803
10.0000	-60.0000	2.0480	377.0000	1.9964
10.0000	-55.0000	2.0965	380.4000	2.0123
10.0000	-50.0000	2.1450	383.8000	2.0280
10.0000	-45.0000	2.1935	387.4000	2.0435
10.0000	-40.0000	2.2420	390.9000	2.0589
10.0000	-35.0000	2.2905	394.5000	2.0742
10.0000	-30.0000	2.3389	398.1000	2.0893
10.0000	-25.0000	2.3874	401.8000	2.1043
10.0000	-20.0000	2.4358	405.5000	2.1191
10.0000	-15.0000	2.4842	409.3000	2.1338
10.0000	-10.0000	2.5327	413.1000	2.1484
10.0000	-5.0000	2.5811	416.9000	2.1629
10.0000	0.0000	2.6295	420.8000	2.1772
10.0000	5.0000	2.6779	424.8000	2.1915
10.0000	10.0000	2.7262	428.7000	2.2056
10.0000	15.0000	2.7746	432.7000	2.2197
10.0000	20.0000	2.8230	436.8000	2.2336
10.0000	25.0000	2.8714	440.9000	2.2475
10.0000	30.0000	2.9197	445.0000	2.2612
10.0000	35.0000	2.9681	449.2000	2.2749
10.0000	40.0000	3.0164	453.4000	2.2885
10.0000	45.0000	3.0648	457.7000	2.3020
10.0000	50.0000	3.1131	462.0000	2.3154
10.0000	55.0000	3.1615	466.3000	2.3287
10.0000	60.0000	3.2098	470.7000	2.3420
10.0000	65.0000	3.2581	475.1000	2.3551
10.0000	70.0000	3.3064	479.6000	2.3682
10.0000	75.0000	3.3548	484.1000	2.3813
10.0000	80.0000	3.4031	488.6000	2.3942
10.0000	85.0000	1.7242	493.1000	2.3400
20.0000	-65.0000	0.9956	373.4000	1.9128
20.0000	-60.0000	1.0201	376.7000	1.9289
20.0000	-55.0000	1.0445	380.2000	1.9448
20.0000	-50.0000	1.0689	383.7000	1.9606
20.0000	-45.0000	1.0933	387.2000	1.9762
20.0000	-40.0000	1.1176	390.7000	1.9916
20.0000	-35.0000	1.1420	394.3000	2.0069
20.0000	-30.0000	1.1663	398.0000	2.0220
20.0000	-25.0000	1.1907	401.6000	2.0370
20.0000	-20.0000	1.2150	405.4000	2.0518
20.0000	-15.0000	1.2393	409.1000	2.0666
20.0000	-10.0000	1.2636	412.9000	2.0812
20.0000	-5.0000	1.2879	416.8000	2.0957
20.0000	0.0000	1.3122	420.7000	2.1100
20.0000	5.0000	1.3365	424.6000	2.1243
20.0000	10.0000	1.3607	428.6000	2.1385
20.0000	15.0000	1.3850	432.6000	2.1525
20.0000	20.0000	1.4093	436.7000	2.1665
20.0000	25.0000	1.4335	440.8000	2.1803
20.0000	30.0000	1.4578	444.9000	2.1941
20.0000	35.0000	1.4820	449.1000	2.2078
20.0000	40.0000	1.5063	453.3000	2.2214
